T1,T2,T3,T4,Delay,Offset
1520806643.580568,1520806643.580524,1520806643.62854,1520806644.601626,973.0417728424072,-486.5649938583374
1520806644.601815,1520806644.601842,1520806644.60185,1520806645.651023,1049.1998195648193,-524.5729684829712
1520806645.651602,1520806645.651557,1520806645.651566,1520806646.623658,972.0468521118164,-486.0684871673584
1520806646.624149,1520806646.625059,1520806646.625067,1520806647.63208,1007.922887802124,-503.05163860321045
1520806647.632246,1520806647.632206,1520806647.632215,1520806648.704491,1072.2358226776123,-536.1579656600952
1520806648.705731,1520806648.705786,1520806648.705838,1520806649.712741,1006.9580078125,-503.42392921447754
1520806649.713252,1520806649.713299,1520806649.713307,1520806650.7431,1029.8399925231934,-514.8730278015137
1520806650.743693,1520806650.743649,1520806650.743658,1520806651.681593,937.8907680511475,-468.9894914627075
1520806651.682613,1520806651.682548,1520806651.682557,1520806652.726523,1043.900966644287,-522.0153331756592
1520806652.727025,1520806652.727071,1520806652.72708,1520806653.792793,1065.7589435577393,-532.833456993103
1520806653.79337,1520806653.793325,1520806653.793334,1520806654.756329,962.9499912261963,-481.52005672454834
1520806654.756927,1520806654.756881,1520806654.756891,1520806655.806761,1049.8239994049072,-524.9580144882202
1520806655.807235,1520806655.807281,1520806655.807289,1520806656.847499,1040.2560234069824,-520.0819969177246
1520806656.848084,1520806656.848039,1520806656.848048,1520806657.851689,1003.5960674285889,-501.84309482574463
1520806657.851797,1520806657.85183,1520806657.851839,1520806658.839193,987.38694190979,-493.660569190979
1520806658.839302,1520806658.839334,1520806658.839343,1520806659.818236,978.9249897003174,-489.4305467605591
1520806659.819616,1520806659.819527,1520806659.819546,1520806660.83427,1014.6348476409912,-507.4065923690796
1520806660.834483,1520806660.834536,1520806660.83455,1520806661.782682,948.1852054595947,-474.0394353866577
1520806661.783161,1520806661.783212,1520806661.783221,1520806662.824864,1041.693925857544,-520.7959413528442
1520806662.825444,1520806662.8254,1520806662.825409,1520806663.855002,1029.5491218566895,-514.8184299468994
1520806663.855186,1520806663.85514,1520806663.85515,1520806664.88505,1029.8540592193604,-514.9730443954468
1520806664.885542,1520806664.885589,1520806664.885598,1520806665.802769,917.2179698944092,-458.5620164871216
1520806665.803256,1520806665.803204,1520806665.803214,1520806666.840737,1037.471055984497,-518.7875032424927
1520806666.841692,1520806666.841835,1520806666.841853,1520806667.892494,1050.7841110229492,-525.2490043640137
1520806667.892994,1520806667.893041,1520806667.89305,1520806668.930565,1037.5621318817139,-518.7340974807739
1520806668.931108,1520806668.931192,1520806668.931215,1520806670.002534,1071.4027881622314,-535.617470741272
1520806670.002952,1520806670.00289,1520806670.002918,1520806671.003405,1000.4251003265381,-500.27453899383545
1520806671.003723,1520806671.005522,1520806671.00553,1520806672.014201,1010.469913482666,-503.4358501434326
1520806672.014693,1520806672.014656,1520806672.014664,1520806673.015793,1001.0921955108643,-500.58305263519287
1520806673.016355,1520806673.016311,1520806673.01632,1520806674.008237,991.8727874755859,-495.98050117492676
1520806674.008657,1520806674.008691,1520806674.008699,1520806674.993457,984.7922325134277,-492.36202239990234
1520806674.993966,1520806674.994013,1520806674.994022,1520806676.048222,1054.2471408843994,-527.0766019821167
1520806676.048373,1520806676.048338,1520806676.048346,1520806676.985137,936.755895614624,-468.41299533843994
1520806676.985705,1520806676.985659,1520806676.985669,1520806677.990279,1004.5640468597412,-502.3280382156372
1520806677.99176,1520806677.991802,1520806677.991813,1520806678.964489,972.7180004119873,-486.3170385360718
1520806678.964963,1520806678.965012,1520806678.965021,1520806679.882038,917.0663356781006,-458.48405361175537
1520806679.882651,1520806679.882589,1520806679.8826,1520806680.898181,1015.5189037322998,-507.8214406967163
1520806680.898279,1520806680.898307,1520806680.898315,1520806681.841079,942.7921772003174,-471.3679552078247
1520806681.841677,1520806681.841632,1520806681.841641,1520806682.844614,1002.9280185699463,-501.50907039642334
1520806682.844838,1520806682.844792,1520806682.844803,1520806683.906364,1061.5148544311523,-530.8034420013428
1520806683.90655,1520806683.906507,1520806683.906516,1520806684.927689,1021.1300849914551,-510.6079578399658
1520806684.929648,1520806684.92958,1520806684.929593,1520806685.884787,955.1260471343994,-477.63097286224365
1520806685.884992,1520806685.885024,1520806685.885033,1520806686.963776,1078.775405883789,-539.3555164337158
1520806686.964337,1520806686.964292,1520806686.964302,1520806687.997201,1032.8538417816162,-516.4719820022583
1520806687.997289,1520806687.997315,1520806687.997323,1520806688.99127,993.9730167388916,-496.96052074432373
1520806688.991813,1520806688.991942,1520806688.991953,1520806689.931302,939.4781589508057,-469.6100950241089
1520806689.931417,1520806689.931462,1520806689.931471,1520806690.915114,983.6878776550293,-491.79887771606445
1520806690.915695,1520806690.915649,1520806690.915659,1520806691.930301,1014.5959854125977,-507.34400749206543
1520806691.930876,1520806691.930727,1520806691.930736,1520806692.957744,1026.8588066101074,-513.5784149169922
1520806692.95846,1520806692.958414,1520806692.958423,1520806693.993839,1035.370111465454,-517.7310705184937
