T1,T2,T3,T4,Delay,Offset
1520717515.558183,1520717515.558698,1520717515.558713,1520717515.564254,6.056070327758789,-2.5130510330200195
1520717515.565848,1520717515.564457,1520717515.56502,1520717515.565879,-0.5321502685546875,-1.1250972747802734
1520717515.570719,1520717515.567529,1520717515.567544,1520717515.573238,2.5038719177246094,-4.441976547241211
1520717515.577039,1520717515.576365,1520717515.57638,1520717515.577067,0.012874603271484375,-0.6804466247558594
1520717515.583149,1520717515.58344,1520717515.58345,1520717515.583538,0.3790855407714844,0.10156631469726562
1520717515.584697,1520717515.583664,1520717515.583673,1520717515.584717,0.010967254638671875,-1.0385513305664062
1520717515.609973,1520717515.585297,1520717515.585323,1520717515.610024,0.025033950805664062,-24.688363075256348
1520717515.610944,1520717515.611259,1520717515.611273,1520717515.611557,0.598907470703125,0.015497207641601562
1520717515.61171,1520717515.611926,1520717515.612441,1520717515.612855,0.6299018859863281,-0.09894371032714844
1520717515.614321,1520717515.613009,1520717515.613018,1520717515.614379,0.04887580871582031,-1.3364553451538086
1520717515.618059,1520717515.614591,1520717515.615199,1520717515.618134,-0.5331039428710938,-3.2014846801757812
1520717515.628191,1520717515.628224,1520717515.628235,1520717515.633832,5.629777908325195,-2.781987190246582
1520717515.641352,1520717515.634082,1520717515.634094,1520717515.641431,0.06723403930664062,-7.303476333618164
1520717515.643684,1520717515.641641,1520717515.642233,1520717515.643716,-0.5598068237304688,-1.7631053924560547
1520717515.644365,1520717515.644607,1520717515.644621,1520717515.648073,3.6940574645996094,-1.6050338745117188
1520717515.658756,1520717515.658788,1520717515.658802,1520717515.659644,0.8738040924072266,-0.4049539566040039
1520717515.66123,1520717515.661558,1520717515.661572,1520717515.661769,0.5247592926025391,0.0654458999633789
1520717515.663202,1520717515.663202,1520717515.663213,1520717515.667208,3.9949417114257812,-1.9974708557128906
1520717515.673745,1520717515.673961,1520717515.673991,1520717515.675256,1.4810562133789062,-0.5245208740234375
1520717515.68333,1520717515.683425,1520717515.68344,1520717515.701605,18.26000213623047,-9.035110473632812
1520717515.718742,1520717515.719195,1520717515.71921,1520717515.743661,24.90401268005371,-11.999011039733887
1520717515.748685,1520717515.748706,1520717515.748725,1520717515.749123,0.41937828063964844,-0.18846988677978516
1520717515.752381,1520717515.752381,1520717515.752412,1520717515.752666,0.25391578674316406,-0.12695789337158203
1520717515.754324,1520717515.754284,1520717515.754301,1520717515.754429,0.08797645568847656,-0.08404254913330078
1520717515.755341,1520717515.755325,1520717515.755333,1520717515.755471,0.1220703125,-0.07700920104980469
1520717515.756413,1520717515.756424,1520717515.756457,1520717515.756594,0.14781951904296875,-0.0629425048828125
1520717515.757036,1520717515.757294,1520717515.757305,1520717515.757439,0.39196014404296875,0.06198883056640625
1520717515.758381,1520717515.758098,1520717515.758399,1520717515.758543,-0.13899803161621094,-0.21350383758544922
1520717515.758715,1520717515.758754,1520717515.759121,1520717515.759339,0.25725364685058594,-0.08952617645263672
1520717515.759671,1520717515.759569,1520717515.759825,1520717515.760028,0.10085105895996094,-0.15246868133544922
1520717515.760335,1520717515.760241,1520717515.760522,1520717515.760658,0.04220008850097656,-0.1150369644165039
1520717515.760827,1520717515.760798,1520717515.760807,1520717515.760988,0.1518726348876953,-0.10502338409423828
1520717515.761887,1520717515.761789,1520717515.761799,1520717515.762252,0.35500526428222656,-0.27549266815185547
1520717515.762574,1520717515.762735,1520717515.762748,1520717515.762913,0.32591819763183594,-0.0020265579223632812
1520717515.763138,1520717515.763138,1520717515.763148,1520717515.763327,0.17881393432617188,-0.08940696716308594
1520717515.763767,1520717515.763673,1520717515.763683,1520717515.764189,0.4119873046875,-0.2999305725097656
1520717515.764361,1520717515.764318,1520717515.764343,1520717515.764524,0.1380443572998047,-0.1119375228881836
1520717515.764798,1520717515.764787,1520717515.764798,1520717515.765,0.19121170043945312,-0.10657310485839844
1520717515.765415,1520717515.765372,1520717515.765378,1520717515.765435,0.014066696166992188,-0.049948692321777344
1520717515.765924,1520717515.765841,1520717515.765851,1520717515.766312,0.37789344787597656,-0.27191638946533203
1520717515.76646,1520717515.766434,1520717515.766444,1520717515.766487,0.016927719116210938,-0.03445148468017578
1520717515.766915,1520717515.766868,1520717515.766881,1520717515.767129,0.2009868621826172,-0.1474618911743164
1520717515.767432,1520717515.767649,1520717515.767785,1520717515.767958,0.3898143768310547,0.02205371856689453
1520717515.768149,1520717515.7682,1520717515.768624,1520717515.768736,0.1628398895263672,-0.03039836883544922
1520717515.769239,1520717515.769116,1520717515.769818,1520717515.770298,0.35691261291503906,-0.3014802932739258
1520717515.77094,1520717515.770743,1520717515.770788,1520717515.771051,0.06580352783203125,-0.2300739288330078
1520717515.771893,1520717515.772508,1520717515.772562,1520717515.772934,0.9868144989013672,0.1214742660522461
1520717515.773718,1520717515.774207,1520717515.774242,1520717515.774423,0.6699562072753906,0.15401840209960938
1520717515.774894,1520717515.774907,1520717515.774939,1520717515.775546,0.6201267242431641,-0.2969503402709961
1520717515.77571,1520717515.775685,1520717515.775698,1520717515.775924,0.2009868621826172,-0.12552738189697266
1520717515.776081,1520717515.776358,1520717515.776377,1520717515.776581,0.48089027404785156,0.03635883331298828
1520717515.776821,1520717515.776875,1520717515.776883,1520717515.777228,0.3993511199951172,-0.1455545425415039
1520717515.777514,1520717515.777475,1520717515.777491,1520717515.777709,0.17905235290527344,-0.1283884048461914
1520717515.778048,1520717515.778009,1520717515.778028,1520717515.778225,0.15783309936523438,-0.11801719665527344
1520717515.778575,1520717515.778575,1520717515.778589,1520717515.778967,0.37789344787597656,-0.18894672393798828
1520717515.779251,1520717515.779175,1520717515.779186,1520717515.779529,0.26702880859375,-0.20956993103027344
1520717515.779749,1520717515.779731,1520717515.77974,1520717515.779924,0.1659393310546875,-0.10085105895996094
1520717515.780226,1520717515.780204,1520717515.780214,1520717515.780386,0.1499652862548828,-0.09691715240478516
1520717515.780784,1520717515.780703,1520717515.780711,1520717515.78082,0.028133392333984375,-0.09489059448242188
1520717515.781573,1520717515.781829,1520717515.781844,1520717515.78199,0.40221214294433594,0.054955482482910156
1520717515.782136,1520717515.782111,1520717515.782123,1520717515.782359,0.21076202392578125,-0.1304149627685547
1520717515.782566,1520717515.782644,1520717515.782651,1520717515.782731,0.15807151794433594,-0.0010728836059570312
1520717515.782909,1520717515.783092,1520717515.783102,1520717515.783199,0.28014183044433594,0.04303455352783203
1520717515.78331,1520717515.783299,1520717515.783326,1520717515.783473,0.1361370086669922,-0.07903575897216797
1520717515.783595,1520717515.783748,1520717515.783758,1520717515.783942,0.3368854522705078,-0.015616416931152344
1520717515.784144,1520717515.784193,1520717515.784208,1520717515.785434,1.2750625610351562,-0.5884170532226562
1520717515.785548,1520717515.785548,1520717515.785585,1520717515.932412,146.82698249816895,-73.41349124908447
1520717515.933857,1520717515.932613,1520717515.932627,1520717515.93389,0.019073486328125,-1.2536048889160156
1520717515.934779,1520717515.934804,1520717515.934866,1520717515.935095,0.2541542053222656,-0.10204315185546875
1520717515.935498,1520717515.935261,1520717515.935267,1520717515.943505,8.001089096069336,-4.237532615661621
1520717515.947514,1520717515.947558,1520717515.947572,1520717515.948027,0.49877166748046875,-0.20551681518554688
1520717515.950596,1520717515.950311,1520717515.950322,1520717515.952606,1.9989013671875,-1.2845993041992188
1520717515.957097,1520717515.956311,1520717515.95633,1520717515.958385,1.2688636779785156,-1.4204978942871094
1520717515.960907,1520717515.960929,1520717515.960948,1520717515.962662,1.7359256744384766,-0.8460283279418945
1520717515.972585,1520717515.972585,1520717515.972611,1520717515.974873,2.262115478515625,-1.1310577392578125
1520717515.982798,1520717515.981597,1520717515.981613,1520717515.982829,0.015020370483398438,-1.208662986755371
1520717515.98335,1520717515.983122,1520717515.983134,1520717515.983368,0.0059604644775390625,-0.23090839385986328
1520717515.983442,1520717515.983804,1520717515.983825,1520717515.984836,1.3730525970458984,-0.32460689544677734
1520717515.984961,1520717515.985221,1520717515.985234,1520717515.98542,0.4458427429199219,0.03695487976074219
1520717515.985524,1520717515.985707,1520717515.985717,1520717515.985946,0.4119873046875,-0.02288818359375
1520717515.986066,1520717515.986159,1520717515.986205,1520717515.997709,11.596918106079102,-5.705475807189941
1520717516.003564,1520717516.003315,1520717516.003356,1520717516.004019,0.41413307189941406,-0.4559755325317383
1520717516.006822,1520717516.005516,1520717516.005528,1520717516.006844,0.010013580322265625,-1.3110637664794922
1520717516.007977,1520717516.006988,1520717516.006999,1520717516.008,0.011920928955078125,-0.9949207305908203
1520717516.009098,1520717516.008153,1520717516.008163,1520717516.009121,0.012874603271484375,-0.9515285491943359
1520717516.010067,1520717516.009608,1520717516.009617,1520717516.010086,0.010013580322265625,-0.4639625549316406
1520717516.011566,1520717516.011614,1520717516.011626,1520717516.01179,0.21219253540039062,-0.05793571472167969
1520717516.012417,1520717516.013751,1520717516.013765,1520717516.013871,1.439809799194336,0.6140470504760742
1520717516.014053,1520717516.014139,1520717516.014147,1520717516.014526,0.4646778106689453,-0.14650821685791016
1520717516.014934,1520717516.014821,1520717516.014969,1520717516.015122,0.03981590270996094,-0.1329183578491211
1520717516.016466,1520717516.015317,1520717516.015326,1520717516.016536,0.06103515625,-1.1794567108154297
1520717516.016984,1520717516.018146,1520717516.018165,1520717516.018588,1.5850067138671875,0.3695487976074219
1520717516.018848,1520717516.01892,1520717516.018934,1520717516.019057,0.19502639770507812,-0.025510787963867188
1520717516.019151,1520717516.019175,1520717516.019187,1520717516.01955,0.3871917724609375,-0.16951560974121094
1520717516.019642,1520717516.019662,1520717516.019674,1520717516.022542,2.887725830078125,-1.4240741729736328
1520717516.023315,1520717516.022736,1520717516.02275,1520717516.023336,0.007152557373046875,-0.5824565887451172
1520717516.024029,1520717516.024047,1520717516.024058,1520717516.024929,0.888824462890625,-0.4265308380126953
1520717516.026096,1520717516.027364,1520717516.027374,1520717516.029112,3.0059814453125,-0.23508071899414062
1520717516.031124,1520717516.031344,1520717516.031358,1520717516.032111,0.972747802734375,-0.2665519714355469
1520717516.033415,1520717516.032552,1520717516.03256,1520717516.03344,0.016927719116210938,-0.8715391159057617
