T1,T2,T3,T4,Delay,Offset
1520741400.274568,1520741400.452074,1520741400.745682,1520741401.090301,522.1250057220459,-83.55653285980225
1520741401.090556,1520741401.403092,1520741401.729975,1520741402.274175,856.7359447479248,-115.83197116851807
1520741402.27441,1520741402.477432,1520741402.64148,1520741402.898395,459.93709564208984,-26.946544647216797
1520741402.898631,1520741403.122271,1520741403.288554,1520741403.707619,642.704963684082,-97.71251678466797
1520741403.707854,1520741404.089104,1520741404.454313,1520741405.101271,1028.207778930664,-132.85398483276367
1520741405.101494,1520741405.420902,1520741405.746396,1520741406.259974,832.9858779907227,-97.08499908447266
1520741406.260222,1520741406.509386,1520741406.724738,1520741407.240312,764.7383213043213,-133.20505619049072
1520741407.240569,1520741407.724214,1520741408.099729,1520741408.79956,1183.4759712219238,-108.0930233001709
1520741408.799775,1520741409.096232,1520741409.221392,1520741409.575859,650.9242057800293,-29.005050659179688
1520741409.576082,1520741409.842557,1520741410.039174,1520741410.285751,513.0519866943359,9.948968887329102
1520741410.285987,1520741410.463129,1520741410.654548,1520741410.857337,379.9312114715576,-12.82346248626709
1520741410.85758,1520741410.983943,1520741411.225107,1520741411.656257,557.5129985809326,-152.39346027374268
1520741411.656493,1520741411.9884,1520741412.411169,1520741412.932951,853.6889553070068,-94.93744373321533
1520741412.933179,1520741413.275747,1520741413.690353,1520741413.984772,636.9872093200684,24.074554443359375
1520741413.985019,1520741414.102194,1520741414.310786,1520741414.671835,478.2240390777588,-121.93691730499268
1520741414.672076,1520741414.946926,1520741415.128411,1520741415.449722,596.1611270904541,-23.230433464050293
1520741415.449944,1520741415.690068,1520741415.850717,1520741416.103496,492.9029941558838,-6.327509880065918
1520741416.103764,1520741416.296668,1520741416.423894,1520741416.590324,359.33399200439453,13.23699951171875
1520741416.59057,1520741416.700886,1520741416.799259,1520741416.907998,219.05517578125,0.7884502410888672
1520741416.908245,1520741417.046525,1520741417.196913,1520741417.562196,503.56292724609375,-113.50154876708984
